family,index,seed,method,degree,global_rmse,local_rmse,p95_abs,condition
local_bump,0,20332513,afp_baseline,9,0.005663137519165304,0.010347620904036918,0.008857897408472691,63533.48870821302
local_bump,0,20332513,afp_baseline,11,0.050261240836320956,0.0840673300603906,0.07633706348767733,289325.06308386376
local_bump,0,20332513,hessian_weighted,3,0.0017651738982545496,0.0033449484372004945,0.0027816859688964426,17.29760158674319
local_bump,0,20332513,hessian_weighted,5,0.0015941303688950335,0.0026794064102787177,0.00264898926956533,219.13308878241318
local_bump,0,20332513,hessian_weighted,7,0.0015252364980186124,0.0022118120526439726,0.0029091763482235354,2780.7200509486543
local_bump,0,20332513,hessian_weighted,9,0.004907427075175302,0.005682917118763878,0.012288453070271,50089.271870442615
local_bump,0,20332513,hessian_weighted,11,0.01658796949612399,0.017836678590913035,0.03727704125258271,123370.7212264763
local_bump,0,20332513,afp_exchange,3,0.001805169640687975,0.003164084249923292,0.002418107915336434,17.579076185275262
local_bump,0,20332513,afp_exchange,5,0.0016412888647678648,0.002692653656455571,0.0031146802191906664,182.02971436338436
local_bump,0,20332513,afp_exchange,7,0.001838740976446529,0.0030984649499521803,0.003357776664274291,1999.2982694519685
local_bump,0,20332513,afp_exchange,9,0.0214531635574729,0.04057692093136004,0.026184956667435522,72124.40153932688
local_bump,0,20332513,afp_exchange,11,0.21617925254310255,0.355018163684079,0.45665818354888843,3399618.6684374325
local_bump,1,20332514,regular_grid,3,0.0009352155836588175,0.0016832675727601154,0.0018518589660881908,24.94365478273628
local_bump,1,20332514,regular_grid,5,0.0010161190330995203,0.00193598898953565,0.00246317877601042,327.43361648915993
local_bump,1,20332514,regular_grid,7,0.002533216612873485,0.005087028438851375,0.004940804735444856,7676.108739186785
local_bump,1,20332514,regular_grid,9,0.0028885368209592144,0.0056627821777976445,0.004600044840700151,7.740388647875343e+17
local_bump,1,20332514,regular_grid,11,0.010059454804941238,0.015982496932406193,0.02271674221935934,4.049534361189323e+17
local_bump,1,20332514,random_uniform,3,0.0009435850680496314,0.0017557792785315059,0.001972310244001599,20.901837021639547
local_bump,1,20332514,random_uniform,5,0.0011426379122997424,0.0021558754898060137,0.0024436108686406743,241.82454480342142
local_bump,1,20332514,random_uniform,7,0.0018140097655369245,0.0033948318547604743,0.0036767658208824465,4181.172757953722
local_bump,1,20332514,random_uniform,9,0.05939549194993653,0.11874242623111643,0.05481433888038699,213687.59562503468
local_bump,1,20332514,random_uniform,11,0.14464299142698664,0.26935595289990144,0.14199580436703307,747157.8749790479
local_bump,1,20332514,jittered_grid,3,0.0009327201685509885,0.0016875329928168956,0.0018476313246474946,26.906147679143636
local_bump,1,20332514,jittered_grid,5,0.0011701065293981882,0.0022383743236285914,0.0028692284868200484,343.6750297403428
local_bump,1,20332514,jittered_grid,7,0.001604118709190016,0.0031738535342827495,0.0024792928012301414,5123.689394023295
local_bump,1,20332514,jittered_grid,9,0.017596587615737465,0.03710267582031031,0.029781996624310247,117615.85910434485
local_bump,1,20332514,jittered_grid,11,0.0301756118401422,0.0597635508068519,0.0558328377521155,266962.3011015694
local_bump,1,20332514,afp_baseline,3,0.0008889440126162505,0.00160193897820471,0.001612874525874415,17.776243561175775
local_bump,1,20332514,afp_baseline,5,0.0007701648127193653,0.0013546463841878087,0.001201695508673584,168.12281558427506
