family,index,layout,degree,global_rmse,local_rmse,p95_abs,condition
mid_frequency,0,regular,11,0.006123204633781536,0.009162012291040994,0.015564077084732385,4.049534361189323e+17
mid_frequency,0,afp,3,0.0021708121372091974,0.002662554875002881,0.004205341955460377,19.025402849563328
mid_frequency,0,afp,5,0.001886646440728278,0.002109760069457526,0.0033530049438352206,182.58798085687172
mid_frequency,0,afp,7,0.0015099967571969395,0.0018769010323632606,0.0028059349984936757,2415.1154743602524
mid_frequency,0,afp,9,0.004598253916871735,0.008238287420473915,0.008726732324091928,87534.14195308683
mid_frequency,0,afp,11,0.002815489154800314,0.004871431935016505,0.005746407210057295,172179.8209869716
mid_frequency,1,regular,3,0.0019929220332458035,0.002462864093945814,0.0035566303294922007,24.94365478273628
mid_frequency,1,regular,5,0.0016892216656334757,0.0018670947471308935,0.0030212908379045013,327.43361648915993
mid_frequency,1,regular,7,0.0029694851152498817,0.006005288788473423,0.0057742659442467864,7676.108739186785
mid_frequency,1,regular,9,0.002907250840303881,0.00545415462395726,0.005594657593706257,7.740388647875343e+17
mid_frequency,1,regular,11,0.007340304000339683,0.012668206313346647,0.019146237448556473,4.049534361189323e+17
mid_frequency,1,afp,3,0.0019827397003175677,0.002458724557230334,0.003402356740720097,17.319703143334056
mid_frequency,1,afp,5,0.0015970877032892954,0.0019287841066985528,0.002806204049571514,174.07106606578603
mid_frequency,1,afp,7,0.0009557331975828772,0.00161641908370708,0.0014338970229092942,1880.3093854741253
mid_frequency,1,afp,9,0.0006620243038692642,0.0011554532948485775,0.0010523769546527339,35315.22066487759
mid_frequency,1,afp,11,0.001989847838543435,0.003758293158108613,0.003228010937299096,97041.64088961152
mid_frequency,2,regular,3,0.005908977784449092,0.0068784881258932545,0.009383580201057127,24.94365478273628
mid_frequency,2,regular,5,0.0037848888582339983,0.00465566547916399,0.0061755164809599965,327.43361648915993
mid_frequency,2,regular,7,0.0023988955052459647,0.004139650632192517,0.002493495452032183,7676.108739186785
mid_frequency,2,regular,9,0.0015735316051275088,0.0019194849382265934,0.004110900725996449,7.740388647875343e+17
mid_frequency,2,regular,11,0.001946536588623926,0.0021482757512673867,0.0049606616586204,4.049534361189323e+17
mid_frequency,2,afp,3,0.005722508709002452,0.0069381282158060414,0.009148143774826267,18.28925003393926
mid_frequency,2,afp,5,0.0035680491549998973,0.003957120282832783,0.0063294531103491175,194.08655021233383
mid_frequency,2,afp,7,0.0014141189844841466,0.0017069601660981166,0.0020041858123694845,2288.441346419879
mid_frequency,2,afp,9,0.0006686570495150041,0.0011129005817821275,0.0012641950883091207,41146.19259026826
mid_frequency,2,afp,11,0.0018489565700982834,0.0035436155615673703,0.003689346660697301,165009.33962428113
mid_frequency,3,regular,3,0.0036189784306420937,0.005096008745182181,0.007203761933158411,24.94365478273628
mid_frequency,3,regular,5,0.002825224438676879,0.004222710910031351,0.005499705217487933,327.43361648915993
mid_frequency,3,regular,7,0.0044058245135863506,0.008976154534422397,0.008953694707233123,7676.108739186785
mid_frequency,3,regular,9,0.005556790156567619,0.007444496342573035,0.014740971009685976,7.740388647875343e+17
mid_frequency,3,regular,11,0.00752254231638909,0.011660545646892622,0.01876684247638828,4.049534361189323e+17
mid_frequency,3,afp,3,0.0035877126994223185,0.004729877796606707,0.007255835467193397,18.012731860110378
mid_frequency,3,afp,5,0.0027775915426500966,0.0039901071891933594,0.005660085470021004,174.41703249484573
mid_frequency,3,afp,7,0.0013582637381815464,0.001902247013901077,0.0026574436847306097,2257.4089891009558
mid_frequency,3,afp,9,0.00232739713759176,0.003843511005693857,0.0041660652922482395,55728.87270386762
mid_frequency,3,afp,11,0.004525345169737695,0.007915752473382286,0.007275091067652888,153134.595842342
mid_frequency,4,regular,3,0.0031947959204723228,0.003679844140891127,0.005657091314845699,24.94365478273628
mid_frequency,4,regular,5,0.002925003901743481,0.003434646308369929,0.005075824622278477,327.43361648915993
mid_frequency,4,regular,7,0.0032646322837915046,0.006012011895700559,0.005560243578785533,7676.108739186785
mid_frequency,4,regular,9,0.0036490702905997156,0.004838803516239454,0.00956968603557588,7.740388647875343e+17
mid_frequency,4,regular,11,0.004853197667818573,0.007261571159136056,0.01232285973325617,4.049534361189323e+17
mid_frequency,4,afp,3,0.003176970749580633,0.00372579509213801,0.005689806402756241,18.250037397860833
mid_frequency,4,afp,5,0.002819467316080812,0.0032208417650549316,0.00488351983045018,190.17768759381516
mid_frequency,4,afp,7,0.001916944450099422,0.0025284995532433062,0.003420107112806477,2485.188503719618
mid_frequency,4,afp,9,0.002505271959987766,0.005075992199621795,0.003305519848754789,51690.5246355109
mid_frequency,4,afp,11,0.004316456368067475,0.008565014309652277,0.006984655957837834,217760.03403682806
