family,index,round,score,global_rmse,local_rmse,low_rmse,p95_abs,condition,success,weighted_coverage,swap_out_hessian,swap_in_hessian,improved
edge_rolloff,3,12,-0.0003640479600293908,0.0009206991658658919,0.0009745969143219032,0.0009067001718279329,0.0019499564898793494,220.6851793760404,True,15.438757086954016,0.49231825796562334,0.5812904669331904,True
edge_rolloff,4,0,0.0006354727351453593,0.000917979702566026,0.0014390746687582094,0.0007315045800819847,0.002089633692558473,184.2802227217252,True,14.72397552311677,,,
edge_rolloff,4,1,0.00034488153039304243,0.0008617397023778138,0.0013313842389709762,0.0006961734533040271,0.00197934595402645,186.11218406906536,True,14.899595070405386,0.3223963182534183,0.5737003953468767,True
edge_rolloff,4,2,0.0001582939864253085,0.0008355726930505615,0.0012669455346542412,0.0006863318248934566,0.0018945973417558149,188.7626406401364,True,15.105639728677996,0.30577760885980204,1.335606308839441,True
edge_rolloff,4,3,-0.00010009945113020327,0.0007970830276819256,0.001159828222196852,0.0006764411355617857,0.0018214615245086693,192.6837957201171,True,15.214323449381524,0.3667975356171874,0.8254359156691456,True
edge_rolloff,4,4,-0.00019934208905743366,0.0007900065008688434,0.0011303295019137456,0.000678562478075191,0.0018114848808937895,198.52071303557938,True,15.402290842333533,0.3463805869693859,1.084130348297553,True
edge_rolloff,4,5,-0.00019934208905743366,0.0007900065008688434,0.0011303295019137456,0.000678562478075191,0.0018114848808937895,198.52071303557938,True,15.402290842333533,,,False
edge_rolloff,4,6,-0.0002626788643534843,0.0007761015572802782,0.0011049357034681108,0.0006689033322789278,0.0018243972491209723,200.35512810132903,True,15.414557365248838,0.2800426234891481,0.4836443615903937,True
edge_rolloff,4,7,-0.00040121385455906813,0.0007273886977692335,0.0010593943840950862,0.0006168751728018566,0.0016783974986981313,209.08338950235992,True,15.442410814521056,0.3127055533170767,1.572155607238851,True
edge_rolloff,4,8,-0.0004347913237671896,0.0007066458802792656,0.0010550371618411073,0.0005879175615814641,0.001565516382086697,209.20804541402592,True,15.466279767262519,0.3752868783691865,0.4775730875701353,True
edge_rolloff,4,9,-0.0004347913237671896,0.0007066458802792656,0.0010550371618411073,0.0005879175615814641,0.001565516382086697,209.20804541402592,True,15.466279767262519,,,False
edge_rolloff,4,10,-0.00043877931120095155,0.0007089773085802544,0.0010534131675707932,0.0005921414476277152,0.001563909929868206,209.64176466218754,True,15.482854898935866,0.36498218740042626,0.48476468114304005,True
edge_rolloff,4,11,-0.0005040422781263207,0.0007074996301517551,0.0010245424449733813,0.0006025262762958601,0.001509988099671448,211.75281301947146,True,15.534727157394155,0.4513711008854039,0.9581958487147526,True
edge_rolloff,4,12,-0.0006492409232312138,0.0006906118768326433,0.0009634105930967024,0.0006032809592530217,0.001514229992481681,214.59965850566874,True,15.610811986463784,0.45411286057792044,0.660880545112994,True
local_bump,0,0,0.0017758078981758656,0.0009477471381712443,0.0019574923848773335,0.0004044522261842736,0.0020985741814380575,170.9638814839797,True,13.966500760092226,,,
local_bump,0,1,0.0016175688400138447,0.0009275737000020825,0.0019054059061275116,0.00040824393039125067,0.0020116081312425388,177.88828305286097,True,14.17502893162067,0.3290663078528342,0.5184919085170633,True
local_bump,0,2,0.0009260847847117901,0.0008106228274346171,0.0016105652218715723,0.00041482283647076523,0.0015091731156586503,179.53746785122422,True,14.320418515926177,0.3193227534228228,0.4913020057619101,True
local_bump,0,3,0.00016739217437877025,0.0007083773234333708,0.0012898117337456448,0.0004591812216813243,0.0014339304599255938,183.52692472113935,True,14.635684282420218,0.3572315880769709,1.255022622862577,True
