family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,improved
edge_rolloff,0,9,0.0007178111849620141,0.0009406432945517864,0.0012836044452583142,0.0012836044452583142,14.592007223161161,True
edge_rolloff,0,10,0.0006908752424233276,0.0009735640782818751,0.001258838405867177,0.001258838405867177,14.631247440898099,True
edge_rolloff,0,11,0.0006844082543097825,0.0009687166042281878,0.0012614009328455096,0.0012614009328455096,14.666251544469878,True
edge_rolloff,0,12,0.0004973122688940175,0.0009443313234319074,0.0011915523879251046,0.0011915523879251046,14.746395345903046,True
edge_rolloff,0,13,0.0004023763757514819,0.000930887501324514,0.0011562942009897164,0.0011562942009897164,14.783644738257182,True
edge_rolloff,0,14,0.00034369800836872924,0.0009288160943098154,0.0011307801270782863,0.0011307801270782863,14.798781764027437,True
edge_rolloff,1,0,0.0010320078032393927,0.0007920532671553428,0.001455781842447074,0.001455781842447074,14.085936665274028,
edge_rolloff,1,1,0.0009693800333152314,0.0007817924501473473,0.0014350229273667717,0.0014350229273667715,14.129802821511682,True
edge_rolloff,1,2,0.0009477433494451386,0.0007766552298912975,0.0014294665652699109,0.0014294665652699109,14.153958337564859,True
edge_rolloff,1,3,0.0008812784283182599,0.0007659877792598274,0.001403540451442676,0.001403540451442676,14.160721494855936,True
edge_rolloff,1,4,0.0008646420655958951,0.0008075467112715477,0.001380263007574387,0.001380263007574387,14.207284807909327,True
edge_rolloff,1,5,0.0007631215705495194,0.0007752191676413775,0.0013499683716812869,0.0013499683716812869,14.235155888112805,True
edge_rolloff,1,6,0.0007492436928149067,0.0007678040316541297,0.0013558245651721277,0.0013558245651721277,14.328959628503455,True
edge_rolloff,1,7,0.0006719590754212961,0.0007731069234248017,0.0013198593614421649,0.0013198593614421647,14.364262535160258,True
edge_rolloff,1,8,0.0005463543574235033,0.0007774332888098045,0.0012710688671833856,0.0012710688671833854,14.501617762357053,True
edge_rolloff,1,9,0.0004751846329527241,0.0007335139200786458,0.0012695010299149738,0.0012695010299149738,14.621407249736833,True
edge_rolloff,1,10,0.00044750582267298047,0.000733027988974637,0.001267618308182798,0.001267618308182798,14.73760306742766,True
edge_rolloff,1,11,0.0004264260912582767,0.0007384385313924465,0.0012577336224374744,0.0012577336224374744,14.76626523626433,True
edge_rolloff,1,12,0.000326295418241287,0.0007268824069950773,0.0012123165996095644,0.0012123165996095646,14.73225923966938,True
edge_rolloff,1,13,0.00031593823171622475,0.0007340016790594357,0.001207415300453147,0.001207415300453147,14.7681778914741,True
edge_rolloff,1,14,0.00013988291982372806,0.0007070129488262314,0.0011355910796568907,0.0011355910796568907,14.75935648140987,True
edge_rolloff,2,0,3.212440133733112e-05,0.0006051004679992814,0.0010513175300047156,0.0010513175300047156,13.903714398359263,
