family,index,seed,method,n_points,degree,condition,success,global_rmse,local_rmse,low_rmse,p95_abs
mid_frequency_undulation,2,20263515,afp_poly_only,64,5,189.77588965156139,True,0.001970601102426569,0.002756660488184214,0.001718342751770833,0.0035948423338681115
mid_frequency_undulation,2,20263515,afp_poly_residual_phs,64,5,189.77588965156139,True,0.0002181796612536987,0.00043275204123743123,0.0001123593185245578,0.000399842278813588
mid_frequency_undulation,2,20263515,hessian_weighted_poly_residual_phs,64,5,190.92711828341294,True,0.0001495890184725567,0.00017743423141623182,0.00014176202077232177,0.00032335542321463824
mid_frequency_undulation,2,20263515,afp_exchange_poly_residual_phs,64,5,201.49575770840062,True,0.00014214529644334873,0.00019077911002655652,0.0001270846652101045,0.00031664806715569994
mid_frequency_undulation,3,20263516,afp_poly_only,64,5,187.15354463282253,True,0.0013969969925918795,0.002022945293391894,0.001189751215932611,0.002634231411348018
mid_frequency_undulation,3,20263516,afp_poly_residual_phs,64,5,187.15354463282253,True,0.00036254109612362156,0.0006533419531317851,0.00023969718247806286,0.0008033756625161207
mid_frequency_undulation,3,20263516,hessian_weighted_poly_residual_phs,64,5,198.79124201004626,True,0.00031219768891560713,0.0004288585612970694,0.00027534949108513435,0.0006465074584942822
mid_frequency_undulation,3,20263516,afp_exchange_poly_residual_phs,64,5,207.40601190107515,True,0.00028981643589393377,0.0003864763974904671,0.0002600442053402411,0.0006527476293520773
mid_frequency_undulation,4,20263517,afp_poly_only,64,5,184.3671605062421,True,0.001580358913730509,0.0025930998259919374,0.0011996115535645845,0.002839338495266252
mid_frequency_undulation,4,20263517,afp_poly_residual_phs,64,5,184.3671605062421,True,0.0004051298354791943,0.0008511637884621752,0.000154282344889003,0.0005758262338164484
mid_frequency_undulation,4,20263517,hessian_weighted_poly_residual_phs,64,5,190.48807236813832,True,0.00023433511596786493,0.0003905378333254211,0.00017455507292858525,0.00048598487017800475
mid_frequency_undulation,4,20263517,afp_exchange_poly_residual_phs,64,5,195.36508065013254,True,0.0002857320176398789,0.0005445601720644612,0.00016680855333308682,0.0005075033879698804
